"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 03 00:03:40 IST 2020","Mon Feb 03 00:03:40 IST 2020","12","Suite","Test","allureReports.Tests","allureReports.Tests","registration11Test","Verify user Registration11","Verify user Registration11........"
"passed","Mon Feb 03 00:03:15 IST 2020","Mon Feb 03 00:03:25 IST 2020","10008","Suite","Test","allureReports.Tests","allureReports.Tests","loginTest","Verify login","Verify login with Valid Credentials........"
"passed","Mon Feb 03 00:03:07 IST 2020","Mon Feb 03 00:03:10 IST 2020","2959","Suite","Test","allureReports.Tests","allureReports.Tests","logoPresence","Verify Logo presence on Home Page","Verify Logo presence on Home Page........"
"skipped","Mon Feb 03 00:03:30 IST 2020","Mon Feb 03 00:03:30 IST 2020","2","Suite","Test","allureReports.Tests","allureReports.Tests","registrationTest","Verify user Registration","Verify user Registration........"
"passed","Mon Feb 03 00:03:35 IST 2020","Mon Feb 03 00:03:35 IST 2020","14","Suite","Test","allureReports.Tests","allureReports.Tests","registration1Test","Verify user Registration1","Verify user Registration1........"
